dataset,dataset_name,target,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,temporal,scale,stat,feature_core,feature_type
multi_scale,0.3/0.5/1.0m,FHB_index,diff_r1_CI_RE2_median,62,-0.539408282162458,6.074984689500411e-06,-0.6129553835717023,1.1862052776710718e-07,0.539408282162458,0.6129553835717023,diff,r1,median,CI_RE2,named_index
multi_scale,0.3/0.5/1.0m,FHB_index,0418_r1_ND_B1_B4_median,62,0.3055674838808734,0.015728777257018,0.6126859052530653,1.20566711134129e-07,0.3055674838808734,0.6126859052530653,0418,r1,median,ND_B1_B4,pairwise_nd
multi_scale,0.3/0.5/1.0m,FHB_index,0418_r1_ND_B1_B2_mean,62,0.266281876929889,0.0364413545637302,0.6104492352083782,1.3792218061929506e-07,0.266281876929889,0.6104492352083782,0418,r1,mean,ND_B1_B2,pairwise_nd
multi_scale,0.3/0.5/1.0m,FHB_index,diff_r1_ND_B5_B6_median,62,0.5493848471055035,3.759927581480613e-06,0.6066495909155968,1.7291239395974397e-07,0.5493848471055035,0.6066495909155968,diff,r1,median,ND_B5_B6,pairwise_nd
multi_scale,0.3/0.5/1.0m,FHB_index,diff_r1_NDRE2_median,62,-0.5493848471055035,3.759927581480613e-06,-0.6066495909155968,1.7291239395974397e-07,0.5493848471055035,0.6066495909155968,diff,r1,median,NDRE2,named_index
multi_scale,0.3/0.5/1.0m,FHB_index,0418_r1_ND_B3_B4_median,62,0.3949763013363732,0.0014880432395992,0.6023918334811322,2.2199489205240506e-07,0.3949763013363732,0.6023918334811322,0418,r1,median,ND_B3_B4,pairwise_nd
multi_scale,0.3/0.5/1.0m,FHB_index,0418_r1_RENDVI1_median,62,-0.3949763013363732,0.0014880432395992,-0.6023918334811322,2.2199489205240506e-07,0.3949763013363732,0.6023918334811322,0418,r1,median,RENDVI1,named_index
multi_scale,0.3/0.5/1.0m,FHB_index,0418_r1_ND_B1_B2_median,62,0.4070302922516187,0.0010265697570977,0.585657229893775,5.727230608820997e-07,0.4070302922516187,0.585657229893775,0418,r1,median,ND_B1_B2,pairwise_nd
multi_scale,0.3/0.5/1.0m,FHB_index,0418_r0p5_ND_B1_B4_median,62,0.3898136155752605,0.0017372250083226,0.5776806716621201,8.833511806216821e-07,0.3898136155752605,0.5776806716621201,0418,r0p5,median,ND_B1_B4,pairwise_nd
multi_scale,0.3/0.5/1.0m,FHB_index,diff_r1_CI_RE2_mean,62,-0.5049627669512183,2.8455618581121738e-05,-0.5763602279007988,9.479975651397704e-07,0.5049627669512183,0.5763602279007988,diff,r1,mean,CI_RE2,named_index
multi_scale,0.3/0.5/1.0m,FHB_index,diff_r1_ND_B5_B6_mean,62,0.5141065726146965,1.919522350805907e-05,0.5752284189625234,1.0069141269381803e-06,0.5141065726146965,0.5752284189625234,diff,r1,mean,ND_B5_B6,pairwise_nd
multi_scale,0.3/0.5/1.0m,FHB_index,diff_r1_NDRE2_mean,62,-0.5141065726146965,1.919522350805907e-05,-0.5752284189625234,1.0069141269381803e-06,0.5141065726146965,0.5752284189625234,diff,r1,mean,NDRE2,named_index
multi_scale,0.3/0.5/1.0m,FHB_index,0418_r1_ND_B2_B3_median,62,-0.455770402168908,0.0001972342009638,-0.5676021825450965,1.5028030508861003e-06,0.455770402168908,0.5676021825450965,0418,r1,median,ND_B2_B3,pairwise_nd
multi_scale,0.3/0.5/1.0m,FHB_index,rel_r1_CI_RE2_mean,62,-0.4951121160635721,4.295049490141477e-05,-0.5603801636056251,2.1758364779130906e-06,0.4951121160635721,0.5603801636056251,rel,r1,mean,CI_RE2,named_index
multi_scale,0.3/0.5/1.0m,FHB_index,ratio_r1_CI_RE2_mean,62,-0.4951121160635721,4.295049490141477e-05,-0.5603801636056251,2.1758364779130906e-06,0.4951121160635721,0.5603801636056251,ratio,r1,mean,CI_RE2,named_index
multi_scale,0.3/0.5/1.0m,FHB_index,0418_r0p5_ND_B1_B4_mean,62,0.2314205807728119,0.0703302275021034,0.5602454244463067,2.1907304377085382e-06,0.2314205807728119,0.5602454244463067,0418,r0p5,mean,ND_B1_B4,pairwise_nd
multi_scale,0.3/0.5/1.0m,FHB_index,ratio_r1_NDRE2_mean,62,-0.4969424840591966,3.9825318325728026e-05,-0.5526191880288798,3.2075871060745944e-06,0.4969424840591966,0.5526191880288798,ratio,r1,mean,NDRE2,named_index
multi_scale,0.3/0.5/1.0m,FHB_index,rel_r1_NDRE2_mean,62,-0.4969424840591966,3.982531832572839e-05,-0.5526191880288798,3.2075871060745944e-06,0.4969424840591966,0.5526191880288798,rel,r1,mean,NDRE2,named_index
multi_scale,0.3/0.5/1.0m,FHB_index,ratio_r1_CI_RE2_median,62,-0.5368194655093237,6.863304360364894e-06,-0.5469331955056392,4.2364761478183736e-06,0.5368194655093237,0.5469331955056392,ratio,r1,median,CI_RE2,named_index
multi_scale,0.3/0.5/1.0m,FHB_index,rel_r1_CI_RE2_median,62,-0.5368194655093235,6.863304360364965e-06,-0.5469331955056392,4.2364761478183736e-06,0.5368194655093235,0.5469331955056392,rel,r1,median,CI_RE2,named_index
one_sqft,1平方尺,FHB_index,rel_r0p172_B2_p75,62,0.4033551243723376,0.0011512810977802,0.4797791985013008,7.954241852860319e-05,0.4033551243723376,0.4797791985013008,rel,r0p172,p75,B2,raw_band
one_sqft,1平方尺,FHB_index,ratio_r0p172_B2_p75,62,0.4033551243723376,0.0011512810977802,0.4797791985013008,7.954241852860319e-05,0.4033551243723376,0.4797791985013008,ratio,r0p172,p75,B2,raw_band
one_sqft,1平方尺,FHB_index,rel_r0p172_B2_mean,62,0.3853640834111403,0.0019813155638599,0.448142443893318,0.0002595978834904,0.3853640834111403,0.448142443893318,rel,r0p172,mean,B2,raw_band
one_sqft,1平方尺,FHB_index,ratio_r0p172_B2_mean,62,0.3853640834111403,0.0019813155638599,0.448142443893318,0.0002595978834904,0.3853640834111403,0.448142443893318,ratio,r0p172,mean,B2,raw_band
one_sqft,1平方尺,FHB_index,rel_r0p172_B4_p75,62,0.4155865021599623,0.0007820960371477,0.4386029114135684,0.0003627762316426,0.4155865021599623,0.4386029114135684,rel,r0p172,p75,B4,raw_band
one_sqft,1平方尺,FHB_index,ratio_r0p172_B4_p75,62,0.4155865021599622,0.0007820960371477,0.4386029114135684,0.0003627762316426,0.4155865021599622,0.4386029114135684,ratio,r0p172,p75,B4,raw_band
one_sqft,1平方尺,FHB_index,diff_r0p172_B2_p75,62,0.4338304936913195,0.0004273322484549,0.4385521075357503,0.0003634138667551,0.4338304936913195,0.4385521075357503,diff,r0p172,p75,B2,raw_band
one_sqft,1平方尺,FHB_index,diff_r0p172_ND_B5_B6_mean,62,0.404232235866189,0.0011203378097416,0.4379561634488396,0.0003709701347142,0.404232235866189,0.4379561634488396,diff,r0p172,mean,ND_B5_B6,pairwise_nd
one_sqft,1平方尺,FHB_index,diff_r0p172_NDRE2_mean,62,-0.404232235866189,0.0011203378097416,-0.4379561634488396,0.0003709701347142,0.404232235866189,0.4379561634488396,diff,r0p172,mean,NDRE2,named_index
one_sqft,1平方尺,FHB_index,diff_r0p172_CI_RE2_mean,62,-0.4003969584242806,0.0012613993954541,-0.4348032671207868,0.0004133825711923,0.4003969584242806,0.4348032671207868,diff,r0p172,mean,CI_RE2,named_index
one_sqft,1平方尺,FHB_index,0418_r0p172_ND_B1_B4_mean,62,0.3403560551773116,0.0067944606123352,0.4124635145057801,0.0008644446370157,0.3403560551773116,0.4124635145057801,0418,r0p172,mean,ND_B1_B4,pairwise_nd
one_sqft,1平方尺,FHB_index,0510_r0p172_B1_mean,62,0.4381774378736759,0.0003681479397992,0.4099034704787287,0.0009377068711046,0.4381774378736759,0.4099034704787287,0510,r0p172,mean,B1,raw_band
one_sqft,1平方尺,FHB_index,diff_r0p172_B2_mean,62,0.4279224775291394,0.0005216576411958,0.4059151913629012,0.0010630555518359,0.4279224775291394,0.4059151913629012,diff,r0p172,mean,B2,raw_band
one_sqft,1平方尺,FHB_index,ratio_r0p172_B2_median,62,0.3737706067719486,0.0027674484457691,0.4041905301236245,0.0011217919895817,0.3737706067719486,0.4041905301236245,ratio,r0p172,median,B2,raw_band
one_sqft,1平方尺,FHB_index,rel_r0p172_B2_median,62,0.3737706067719484,0.0027674484457691,0.4041905301236245,0.0011217919895817,0.3737706067719484,0.4041905301236245,rel,r0p172,median,B2,raw_band
one_sqft,1平方尺,FHB_index,diff_r0p172_B5_p75,62,0.1416034703494645,0.2722748535898182,0.4030587211853491,0.0011619105168724,0.1416034703494645,0.4030587211853491,diff,r0p172,p75,B5,raw_band
one_sqft,1平方尺,FHB_index,rel_r0p172_B5_p75,62,0.1281083163787469,0.3210543397427294,0.4028431385304395,0.0011696970353544,0.1281083163787469,0.4028431385304395,rel,r0p172,p75,B5,raw_band
