image,path,file_size_mb,raster_x_size,raster_y_size,raster_count,band,gdal_dtype,nodata,pixel_width_m,pixel_height_m,projection_prefix,sample_min,sample_p1,sample_median,sample_p99,sample_max,radiometric_calibration_status,radiometric_notes
0418,/data/jiaxing/wang/0418c.tif,188.1362590789795,2777,4502,6,1,Int32,-32768.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,718.0,999.0,7846.589999999967,18803.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
0418,/data/jiaxing/wang/0418c.tif,188.1362590789795,2777,4502,6,2,Int32,-32768.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,1396.0,2135.0,9289.0,23978.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
0418,/data/jiaxing/wang/0418c.tif,188.1362590789795,2777,4502,6,3,Int32,-32768.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,776.0,1095.0,9671.0,23704.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
0418,/data/jiaxing/wang/0418c.tif,188.1362590789795,2777,4502,6,4,Int32,-32768.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,2433.0,5069.0,11420.589999999967,24309.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
0418,/data/jiaxing/wang/0418c.tif,188.1362590789795,2777,4502,6,5,Int32,-32768.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,3215.0,16731.0,24012.179999999935,32857.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
0418,/data/jiaxing/wang/0418c.tif,188.1362590789795,2777,4502,6,6,Int32,-32768.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,3669.0,20718.5,29345.589999999967,36071.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
0510,/data/jiaxing/wang/0510c.tif,198.72324562072754,2777,4502,6,1,Int32,-2147483647.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,594.0,2111.0,15303.589999999967,42408.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
0510,/data/jiaxing/wang/0510c.tif,198.72324562072754,2777,4502,6,2,Int32,-2147483647.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,820.0,4781.0,16568.0,59520.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
0510,/data/jiaxing/wang/0510c.tif,198.72324562072754,2777,4502,6,3,Int32,-2147483647.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,578.0,3177.0,17925.0,53353.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
0510,/data/jiaxing/wang/0510c.tif,198.72324562072754,2777,4502,6,4,Int32,-2147483647.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,1200.0,9755.0,19410.0,65494.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
0510,/data/jiaxing/wang/0510c.tif,198.72324562072754,2777,4502,6,5,Int32,-2147483647.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,1594.0,18779.0,29311.589999999967,65428.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
0510,/data/jiaxing/wang/0510c.tif,198.72324562072754,2777,4502,6,6,Int32,-2147483647.0,0.05753000000000254,0.05752999999999805,"PROJCS[""WGS 84 / UTM zone 51N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84",0.0,1748.0,19931.0,30024.589999999967,62201.0,无法核实,No calibration-panel or reflectance metadata found in project materials.
