target,scale,feature_set,model,validation_scheme,n,n_features,r2,rmse,mae,pearson_r,spearman_r,ci_lower,ci_upper,permutation_p,leakage_risk,result_status,notes
Flower_rat,point,all_features,DummyMean,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,378,-0.06745496291393982,30.455666117226254,25.81853138442601,-0.3203837528699927,-0.3847853032964045,-0.27904711291828455,-0.021825367339868097,,low_in_final_rerun,当前数据不支持定量预测,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,point,0510_single_date,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,102,0.08201377083572625,28.243037684593165,23.91376487462024,0.3284137264472803,0.3797892874989481,-0.4964641279567226,0.332684112109561,0.04477611940298507,low_in_final_rerun,可信但需限制表述,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,point,0418_single_date,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,102,-0.3463799399472356,34.20401896101969,28.37046323968589,-0.0414627371586682,-0.14976659789967361,-1.0199230885486277,-0.07278242252080923,,low_in_final_rerun,当前数据不支持定量预测,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,point,change_only,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,174,-0.04001008362735825,30.061600388705934,24.755088417614974,0.1925567335437317,0.3312662529776413,-0.6637697643233883,0.24236864303718855,,low_in_final_rerun,当前数据不支持定量预测,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,point,all_features,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,378,-0.02956183700797177,29.910215382994416,24.25651800976201,0.22066924936607468,0.3314341527510714,-0.6729300647119008,0.25968232836233,,low_in_final_rerun,当前数据不支持定量预测,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,point,0510_single_date,SingleFeatureLinear,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,102,0.009231085460937427,29.341310575819996,24.895284267649945,0.24158939395832119,0.31934536906410227,-0.5364703062328015,0.25130135086242134,,low_in_final_rerun,可信但需限制表述,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,one_sqft,all_features,DummyMean,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,378,-0.06745496291393982,30.455666117226254,25.81853138442601,-0.3203837528699927,-0.3847853032964045,-0.27904711291828455,-0.021825367339868097,,low_in_final_rerun,当前数据不支持定量预测,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,one_sqft,0510_single_date,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,102,0.011926545587461312,29.301370789525183,24.3025096899372,0.33246712670485057,0.3702190004134308,-0.778562609490558,0.36680620076237547,0.0945273631840796,low_in_final_rerun,可信但需限制表述,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,one_sqft,0418_single_date,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,102,-2.325197900275376,53.75292122352123,35.25503862198472,-0.10459236425421,-0.12088783686969169,-7.6553980842720355,-0.33197550806447795,,low_in_final_rerun,当前数据不支持定量预测,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,one_sqft,change_only,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,174,0.061870861431579716,28.55121767288012,23.214569930615156,0.334768401403938,0.3957397659748102,-0.4972865165142212,0.3343180293399385,,low_in_final_rerun,可信但需限制表述,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,one_sqft,all_features,Ridge,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,378,-0.036728992100076185,30.014142781435513,24.57876385170686,0.2937647291402291,0.3695474013197103,-0.8190275776305259,0.3305211520397082,,low_in_final_rerun,当前数据不支持定量预测,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
Flower_rat,one_sqft,0510_single_date,SingleFeatureLinear,5 spatial-cluster LeaveOneGroupOut CV; fixed parameters; selection inside training folds,33,102,-0.44947004581042527,35.489341794299406,27.771064399150486,0.19118849553969156,0.33109835320421116,-1.9127923026721116,0.2630131984407276,,low_in_final_rerun,当前数据不支持定量预测,Final strict rerun; model permutation p filled for primary scale-comparison Ridge rows.
